ID,Metabolite,Metab ID,KEGG Pathway ID,KEGG Pathway Description,Library ID,Adducts,Formula,Retention time,KEGG Compound ID,Mode,KEGG Compound First Category,KEGG Compound Second Category,KEGG Pathway First Category,KEGG Pathway Second Category,HMDB Superclass,HMDB Class,M/Z,RSD,Fragmentation Score,Theoretical Fragmentation Score,Mass Error,CAS ID,HMDB Subclass,leaf_CT1,leaf_CT2,leaf_CT3,leaf_CT4,leaf_CH1,leaf_CH2,leaf_CH3,leaf_CH4,leaf_MT1,leaf_MT2,leaf_MT3,leaf_MT4,leaf_MH1,leaf_MH2,leaf_MH3,leaf_MH4,leaf_ST1,leaf_ST2,leaf_ST3,leaf_ST4,leaf_SH1,leaf_SH2,leaf_SH3,leaf_SH4,Root_CT1,Root_CT2,Root_CT3,Root_CT4,Root_CH1,Root_CH2,Root_CH3,Root_CH4,Root_MT1,Root_MT2,Root_MT3,Root_MT4,Root_MH1,Root_MH2,Root_MH3,Root_MH4,Root_ST1,Root_ST2,Root_ST3,Root_ST4,Root_SH1,Root_SH2,Root_SH3,Root_SH4,QC01,QC02,QC03,QC04,QC05
pos_1,Difructose anhydride III,metab_0,-,-,HMDB0251271,"M+H-2H2O, M+H-H2O, M+H, M+NH4, M+K, 2M+H, 2M+Na, 2M+NH4",C12H20O10,0.7093,-,pos,-,-,-,-,Organic oxygen compounds,Organooxygen compounds,325.112628,0.024262597,0,66.9,-0.910919689,-,Carbohydrates and carbohydrate conjugates,7.1984,6.806,5.8083,5.3288,6.6789,7.586,7.537,7.311,5.8664,6.3231,6.5528,5.684,7.5572,7.2512,7.0604,7.3428,6.1776,6.333,6.3324,5.7944,6.7236,7.1613,6.323,7.1879,7.0188,6.8892,7.0282,6.9988,7.3098,7.3709,7.5054,7.4248,6.9828,6.9387,7.0721,7.0033,7.2764,7.3888,7.392,7.3838,6.8731,6.8153,6.8938,6.942,6.4552,6.4154,6.3925,6.6215,7.1052,7.113,7.0931,7.089,7.0904
pos_10,Betaine,metab_1,map01100;map02010;map00260,"Metabolic pathways;ABC transporters;Glycine, serine and threonine metabolism",PW_C000030;HMDB0000043;MJDBTMA0000064,"M+H, M+K, M+Na, 2M+K, 2M+Na, 2M+H",C5H11NO2,0.6388,C00719,pos,-,-,Metabolism;Environmental Information Processing;Metabolism,Global and overview maps;Membrane transport;Amino acid metabolism,Organic acids and derivatives,Carboxylic acids and derivatives,118.0863672,0.041389341,63.4,0,0.957680687,107-43-7;6915-17-9,"Amino acids, peptides, and analogues",8.7085,8.7862,8.7345,8.8083,8.6116,8.2722,8.0617,8.4287,8.6018,8.3076,8.4352,8.5819,8.4542,8.7739,8.8682,8.9164,8.823,8.6473,8.6437,8.8715,8.8738,8.7613,8.9169,8.5421,7.5803,7.6481,7.735,7.6797,7.2853,7.4096,7.4551,7.4932,8.0618,8.1166,7.9798,8.0983,8.1949,8.0448,8.0526,7.9416,8.242,8.2839,8.2396,8.3033,8.4693,8.4589,8.4374,8.4348,8.6051,8.625,8.6457,8.6363,8.6505
pos_1003,"N-(1,3-benzodioxol-5-yl)-2-(1-oxo-4-pyrrolidin-1-ylphthalazin-2-yl)acetamide",metab_6,-,-,-,"M+H, M+Na",C21H20N4O4,4.7033,-,pos,-,-,-,-,-,-,393.1552521,0.123229925,38.1,0,-1.222738498,-,-,0.7167,0.7151,0.7476,0.6841,2.1761,0.8016,0.8081,1.4968,0.7836,0.8378,0.7791,0.7623,0.8074,0.7707,1.7764,0.7335,0.7385,0.7618,0.7694,0.7116,0.656,0.722,0.6914,2.0544,3.5464,0.8159,0.7992,0.8322,0.7284,3.5373,0.7642,0.7182,0.7892,4.264,0.8311,3.4891,5.2696,3.8232,5.3232,0.7683,5.3317,5.4485,5.9831,5.0834,6.2047,6.0657,6.2677,6.1373,4.8432,4.7215,4.7606,4.7716,4.714
pos_1009,(-)-Wikstromol,metab_12,-,-,HMDB0030598,"M+H, M+Na",C20H22O7,4.7501,C10725,pos,-,-,-,-,"Lignans, neolignans and related compounds",Furanoid lignans,375.1435702,0.109934634,0,69.2,-0.693030934,34444-37-6,Tetrahydrofuran lignans,3.7029,3.9297,3.222,1.9377,3.0244,3.774,3.8007,3.8432,3.3323,3.3562,2.7847,2.5923,3.5585,3.4666,3.1329,3.6927,3.1124,2.4687,2.2004,2.9918,3.1013,2.8203,2.162,3.4833,2.0417,3.5124,4.4702,4.5935,4.7982,5.0388,5.0522,4.7916,4.8386,4.7905,4.9214,5.0249,5.4538,5.4689,5.3389,5.4533,5.7344,5.7142,5.6206,5.794,5.2549,5.4837,5.6345,5.5486,4.6839,4.752,4.7804,4.6829,4.6824
pos_101,"1-(5-Hydroxy-2-oxo-2,3-dihydroimidazol-4-yl)urea",metab_13,-,-,HMDB0248150,"M+H, M+K, M+2Na-H, M+Na",C4H6N4O3,0.663,-,pos,-,-,-,-,Organoheterocyclic compounds,Azoles,159.0512619,0.105497865,0,33.5,-0.029297278,-,Imidazoles,3.9365,3.9345,3.9745,3.8958,4.0517,4.0393,4.047,4.047,4.0179,4.082,4.0125,3.9923,4.0462,4.0024,3.9762,3.9572,5.0485,5.3139,5.3907,5.2112,5.4988,3.9431,5.4973,3.9537,4.5971,4.8094,4.9767,5.0439,4.2823,3.9897,4.2497,4.1752,5.8302,5.9085,5.6851,5.8847,5.4348,5.3239,5.3659,4.8262,5.9753,5.9326,5.8879,5.9653,5.7644,5.8026,5.8137,5.8497,5.3404,5.2606,5.2312,5.2756,5.3268
pos_1010,4-Deacetylneosolaniol,metab_14,map00909,Sesquiterpenoid and triterpenoid biosynthesis,HMDB0036158,"M+CH3OH+H, M+ACN+H",C17H24O7,4.7658,C19748,pos,-,-,Metabolism,Metabolism of terpenoids and polyketides,Lipids and lipid-like molecules,Prenol lipids,373.1831506,0.033614008,0,72.8,-7.47815549,74833-39-9,Sesquiterpenoids,5.4682,5.483,5.3592,5.5919,4.8362,3.6041,4.0715,4.1045,5.3975,5.4713,5.0172,5.4981,2.7344,3.8653,4.5291,5.2592,5.4399,5.4052,5.4242,5.4845,4.8245,4.9426,5.5805,5.1266,2.6891,2.7445,2.7247,2.7636,2.6393,2.678,2.6829,2.6268,3.9732,4.8746,2.7623,4.0493,4.5684,2.6869,4.4285,2.6878,4.8719,4.9059,4.9557,4.8431,3.5882,4.3097,3.9487,4.414,4.9865,4.9781,5.0081,4.9787,4.9706
pos_1014,Encecalin,metab_18,-,-,-,"M+H-H2O, M+H",C14H16O3,4.8128,C09005,pos,-,-,-,-,-,-,233.1170405,0.158348464,40.4,0,-0.776916671,20628-09-5,-,2.4846,2.4475,2.472,2.3936,5.0374,4.6031,4.8772,4.6816,4.4217,4.687,4.533,4.4069,4.7154,4.4518,4.7637,4.8679,4.6326,4.8887,4.858,4.5266,4.9324,5.2269,4.8212,5.0098,3.7254,3.1949,2.5339,3.4646,3.0715,3.4414,3.1541,2.8237,2.522,2.5374,2.7704,3.2582,2.9849,2.7671,2.532,2.7002,2.7634,2.5038,2.9233,2.5689,2.5021,2.4473,2.4592,2.5838,4.4397,4.3181,4.4965,4.4694,4.5022
pos_102,A-L-Arabinofuranosyl-(1->2)-[a-D-mannopyranosyl-(1->6)]-D-mannose,metab_24,-,-,HMDB0039818,"M+H-2H2O, M+K, M+Na, M+NH4",C17H30O15,0.6706,-,pos,-,-,-,-,Organic oxygen compounds,Organooxygen compounds,439.1419595,0.104197849,0,92.1,-5.605414947,-,Carbohydrates and carbohydrate conjugates,5.2953,5.0275,5.4823,5.3772,4.038,4.7169,4.6085,4.0332,5.3262,5.1648,5.151,5.7454,4.8846,3.9887,3.9625,5.1036,3.9496,3.9779,3.9871,3.9165,3.8464,3.9294,3.8913,4.9757,6.1661,6.0124,6.0741,6.0051,5.8462,6.0491,5.9319,6.0204,5.7617,5.7062,5.8485,5.6909,4.963,5.1562,5.4806,5.4407,5.2175,5.315,5.4044,5.231,4.9423,4.8786,4.8484,4.8836,5.5841,5.5727,5.5764,5.6764,5.6043
pos_1023,Sakuranin,metab_28,-,-,LMPK12140564;HMDB0302696,"M+H, M+Na",C22H24O10,4.8984,C17391,pos,-,-,-,-,Phenylpropanoids and polyketides,Flavonoids,471.1259245,0.268227949,0,40.5,-0.542570768,529-39-5,Flavonoid glycosides,4.2856,4.7013,4.4661,3.4909,3.6468,3.6344,3.7821,3.642,4.7018,4.1558,4.7129,4.4151,3.6413,3.6515,3.5713,3.5523,3.5584,3.7727,3.5959,3.5253,3.4552,3.5382,3.5001,3.5488,4.8692,4.8558,5.2782,5.1022,4.5408,4.8645,4.9081,4.4504,5.1319,5.4226,5.5643,5.448,4.7014,4.8721,5.0869,4.9258,4.9548,5.0094,5.2885,5.3956,4.9237,4.9931,5.0503,5.0381,4.3448,4.3404,4.3035,4.5676,4.4062
pos_1032,"Octahydro-2,5,5,8a-tetramethyl-7H-1-benzopyran-7-one",metab_38,-,-,HMDB0040232,"M+H-H2O, M+H",C13H22O2,5,-,pos,-,-,-,-,Organoheterocyclic compounds,Benzopyrans,211.1691524,0.027804782,0,43.9,-0.494719506,5835-18-7,Not Available,3.9509,5.6603,5.7474,5.4463,6.0838,5.8494,6.0042,6.0199,5.8117,6.045,5.8497,5.8572,5.7193,5.7691,5.948,5.9671,6.0187,6.1863,6.1093,5.9274,5.6316,5.9259,5.7008,6.3757,3.2647,3.3202,3.3004,3.3393,4.0058,4.2161,4.1175,3.8153,3.2885,3.304,3.338,3.3044,3.2725,3.2625,3.2985,3.2634,3.2766,3.2702,3.2778,3.2828,3.2141,3.2136,3.2255,3.2265,5.6998,5.6881,5.6992,5.6882,5.6698
